run,slice,label,precision,recall,f1,support,average_precision
run3b_crd_only,full,"Gunshot, gunfire",0.591304,0.755556,0.663415,180,0.784542
run3b_crd_only,full,Harmonica,0.840426,0.877778,0.858696,180,0.925281
run3b_crd_only,full,Hi-hat,0.65625,0.233333,0.344262,180,0.494223
run3b_crd_only,full,Keys jangling,0.574194,0.494444,0.531343,180,0.59258
run3b_crd_only,full,Knock,0.497487,0.55,0.522427,180,0.606893
run3b_crd_only,full,Laughter,0.492308,0.711111,0.581818,180,0.721823
run3b_crd_only,full,Meow,0.678947,0.716667,0.697297,180,0.784208
run3b_crd_only,full,Microwave oven,0.539474,0.455556,0.493976,180,0.520735
run3b_crd_only,full,Saxophone,0.640449,0.633333,0.636872,180,0.751142
run3b_crd_only,full,Scissors,0.485507,0.372222,0.421384,180,0.461328
run3b_crd_only,full,Shatter,0.692771,0.638889,0.66474,180,0.729049
run3b_crd_only,full,Squeak,0.770833,0.411111,0.536232,180,0.570006
run3b_crd_only,full,Tambourine,0.784314,0.888889,0.833333,180,0.908226
run3b_crd_only,full,Tearing,0.65942,0.505556,0.572327,180,0.631335
run3b_crd_only,full,Telephone,0.559242,0.655556,0.603581,180,0.703361
run3b_crd_only,full,Trumpet,0.689266,0.677778,0.683473,180,0.765197
run3b_crd_only,full,"Violin, fiddle",0.828947,0.7,0.759036,180,0.793186
run3b_crd_only,full,Writing,0.402715,0.494444,0.44389,180,0.536885
run3b_crd_only,mid,Acoustic guitar,0.580247,0.783333,0.666667,60,0.816839
run3b_crd_only,mid,Applause,0.608108,0.75,0.671642,60,0.761828
run3b_crd_only,mid,Bark,0.857143,0.9,0.878049,60,0.967239
run3b_crd_only,mid,"Burping, eructation",0.765625,0.816667,0.790323,60,0.901902
run3b_crd_only,mid,Bus,0.73913,0.85,0.790698,60,0.848589
run3b_crd_only,mid,Chime,0.492308,0.533333,0.512,60,0.625156
run3b_crd_only,mid,Clarinet,0.647059,0.55,0.594595,60,0.694724
run3b_crd_only,mid,Computer keyboard,0.673077,0.583333,0.625,60,0.716271
run3b_crd_only,mid,Cough,0.733333,0.733333,0.733333,60,0.764445
run3b_crd_only,mid,Cowbell,0.712121,0.783333,0.746032,60,0.813818
run3b_crd_only,mid,Drawer open or close,0.470588,0.4,0.432432,60,0.463588
run3b_crd_only,mid,Electric piano,0.816667,0.816667,0.816667,60,0.917117
run3b_crd_only,mid,Fart,0.811321,0.716667,0.761062,60,0.859595
run3b_crd_only,mid,Finger snapping,0.716981,0.633333,0.672566,60,0.681252
run3b_crd_only,mid,Fireworks,0.84,0.7,0.763636,60,0.89362
run3b_crd_only,mid,Flute,0.75,0.95,0.838235,60,0.936268
run3b_crd_only,mid,Glockenspiel,0.5,0.666667,0.571429,60,0.548994
run3b_crd_only,mid,Gong,0.903226,0.933333,0.918033,60,0.987534
run3b_crd_only,mid,"Gunshot, gunfire",0.638889,0.766667,0.69697,60,0.804284
run3b_crd_only,mid,Harmonica,0.868852,0.883333,0.876033,60,0.933622
run3b_crd_only,mid,Hi-hat,0.478261,0.183333,0.26506,60,0.412377
run3b_crd_only,mid,Keys jangling,0.59322,0.583333,0.588235,60,0.682042
run3b_crd_only,mid,Knock,0.548387,0.566667,0.557377,60,0.626614
run3b_crd_only,mid,Laughter,0.511364,0.75,0.608108,60,0.758854
run3b_crd_only,mid,Meow,0.703125,0.75,0.725806,60,0.823496
run3b_crd_only,mid,Microwave oven,0.565217,0.433333,0.490566,60,0.489191
run3b_crd_only,mid,Saxophone,0.636364,0.583333,0.608696,60,0.754095
run3b_crd_only,mid,Scissors,0.55,0.366667,0.44,60,0.537555
run3b_crd_only,mid,Shatter,0.716667,0.716667,0.716667,60,0.792525
run3b_crd_only,mid,Squeak,0.724138,0.35,0.47191,60,0.580334
run3b_crd_only,mid,Tambourine,0.847458,0.833333,0.840336,60,0.899559
run3b_crd_only,mid,Tearing,0.58,0.483333,0.527273,60,0.5902
run3b_crd_only,mid,Telephone,0.541176,0.766667,0.634483,60,0.807536
run3b_crd_only,mid,Trumpet,0.721311,0.733333,0.727273,60,0.828209
run3b_crd_only,mid,"Violin, fiddle",0.846154,0.733333,0.785714,60,0.820596
run3b_crd_only,mid,Writing,0.46875,0.5,0.483871,60,0.557556
run3c_kd_only,full,Acoustic guitar,0.560166,0.75,0.64133,180,0.771489
run3c_kd_only,full,Applause,0.627907,0.75,0.683544,180,0.737546
run3c_kd_only,full,Bark,0.842105,0.888889,0.864865,180,0.929639
run3c_kd_only,full,"Burping, eructation",0.781818,0.716667,0.747826,180,0.847584
run3c_kd_only,full,Bus,0.725806,0.75,0.737705,180,0.788462
run3c_kd_only,full,Chime,0.620482,0.572222,0.595376,180,0.657926
run3c_kd_only,full,Clarinet,0.758865,0.594444,0.666667,180,0.73568
run3c_kd_only,full,Computer keyboard,0.61326,0.616667,0.614958,180,0.706945
run3c_kd_only,full,Cough,0.763636,0.7,0.730435,180,0.760831
run3c_kd_only,full,Cowbell,0.69697,0.766667,0.730159,180,0.799373
run3c_kd_only,full,Drawer open or close,0.508982,0.472222,0.489914,180,0.520886
run3c_kd_only,full,Electric piano,0.717822,0.805556,0.759162,180,0.851684
